feature,pearson_r_with_target
minor_alloying_excl_CuCrZr,-0.5224645088769251
Si,-0.5192579445241199
Ni,-0.48740762959885964
Cu,0.4580041562332357
total_alloying_excl_Cu,-0.4580041562332337
Sn,-0.3713300026994531
Zr_aging_interaction,0.29738352167071713
Y,0.2899881190883091
Co,-0.27732417647274776
Zr,0.2557827372646585
homogenization temperature (℃),0.2548702120850942
Cr,-0.21829050053816995
Cr_Zr_sum,-0.214165860544611
Ti,-0.20121096980522732
source_reliability,0.19722558305855437
Al,-0.19649101113756506
Mg,0.18406777248686892
Zn,0.1796707516621593
Sc,0.17860777490718335
Cr_aging_interaction,-0.1779533873632659
Er,0.1760279855229827
weighted_mean_aging_temp,0.17457369732194444
max_aging_temp,0.1590594168856746
mean_aging_temp,0.15588071681559468
Mn,-0.1541490252607674
year,0.14388207639724812
homogenization time (h),-0.1437479672666282
solution_index,-0.13957844381213924
solution time (h),-0.1378990732255167
hot_rolling_temp,0.13729049233471696
total_CR,-0.13709504402504039
CR1,-0.135964733538401
Temp1 (℃),0.1354337621870229
homogenization_index,-0.12174689660516633
Cr_Zr_product,0.12093628879145957
time2 (h),0.10944966207730211
CR2,-0.1057028123041199
aging_index2,0.10370108890654954
total_aging_time,0.09873564014198857
aging_index1,0.09276701205305284
Fe,0.09185307540460073
Temp2 (℃),-0.0755023207539962
hot_rolling_reduction,0.07105845629025864
time1 (h),0.06538127926843704
Ce,-0.059426359010674105
deformation_aging_interaction,-0.03864719122701261
solution temperature (℃),-0.03195896338908109
aging_temp_range,0.018552008213102086
B,0.0028085979369017766
Cr_Zr_ratio,0.0005764707901711089
