target,model,train_r2,test_r2,val_r2,test_rmse,test_mae,test_nrmse,test_nmae,val_rmse,val_mae,val_nrmse,val_nmae
hardness,ET,0.9990938874280796,0.8494596881014568,0.8188099705872822,15.39065657340852,8.75865544077136,0.0511147677628977,0.0290888589862881,17.67254458470448,9.680665920398011,0.06563375393561792,0.0359528556800045
hardness,RF,0.9848211368653746,0.8408792818072951,0.8244171405280201,15.823192327222165,9.112842322309245,0.0525512863740357,0.0302651687888051,17.396945261332817,10.11955639465013,0.06461021043353198,0.03758284332856767
hardness,GB,0.9146050652501,0.8365715028257136,0.8213343947909629,16.035947851514223,10.907097286230112,0.0532578806094793,0.0362241690010963,17.549001684069694,12.0869058995821,0.06517493011984585,0.04488934821207049
hardness,XGB,0.9410889892403916,0.8447004169791159,0.8234135940682077,15.632048237698404,10.159103406165258,0.0519164670797024,0.0337399648162247,17.44659067556689,11.529911631114446,0.0647945876683016,0.04282073694984196
hardness,LGBM,0.9742047937184148,0.8544651121465849,0.8454897672815765,15.132626027426516,8.457201639594615,0.0502578081282846,0.0280876839574713,16.31963952178026,9.182978351748117,0.06060922350806009,0.034104502531932396
hardness,CAT,0.8858577359783444,0.8383628281959844,0.8149960840312993,15.947821393200147,10.950688157095334,0.0529651989146467,0.0363689410730499,17.857571547632208,12.294344672253782,0.06632092233392338,0.045659751438215046
conductivity,ET,0.999468290204796,0.9414498415822414,0.9275879653044796,5.0445801526065015,3.0856448051948044,0.0552044227687295,0.0337671788705931,5.35589334250315,3.11135195312501,0.06219827363259959,0.03613229535623052
conductivity,RF,0.9914301416570248,0.9533724143256662,0.9374175560051016,4.501761202814058,2.99736740532856,0.0492641847539292,0.032801131596942,4.979122418682546,3.317963431972764,0.05782281289841535,0.0385316854253021
conductivity,GB,0.9628126015000066,0.9582222365983232,0.944010067854393,4.261216329819449,3.205288705361704,0.0466318267653693,0.0350764795946783,4.7095728052142505,3.128677680975878,0.05469251893176461,0.03633349995326766
conductivity,XGB,0.9713600945303548,0.9636999061534608,0.9455521591523128,3.9720514341163895,2.9123579121874528,0.043467404619352,0.0318708460515151,4.644263750419879,3.144266120195389,0.053934081412378106,0.03651452932522807
conductivity,LGBM,0.9891839966551372,0.9712896933169816,0.9519663672465684,3.532481576282845,2.1576190258930548,0.0386570538004251,0.0236115017059865,4.362136597428987,2.8463060262786257,0.05065772381174064,0.03305430294133812
conductivity,CAT,0.945843679943436,0.9421525973521584,0.9235651887103712,5.014214651636481,3.78147783154473,0.0548721235679194,0.0413818979157882,5.502653208308918,3.930248370973845,0.06390260374299057,0.045642182916895195
