target,model,train_r2,test_r2,val_r2,test_nrmse,test_nmae,val_nrmse,val_nmae,train_r2_percent,test_r2_percent,val_r2_percent,test_nrmse_percent,test_nmae_percent,val_nrmse_percent,val_nmae_percent
hardness,ET,0.9990938874280796,0.8494596881014568,0.8188099705872822,0.0511147677628977,0.0290888589862881,0.0656337539356179,0.0359528556800045,99.90938874280796,84.94596881014567,81.88099705872823,5.11147677628977,2.9088858986288098,6.563375393561791,3.5952855680004503
hardness,RF,0.9848211368653746,0.8408792818072951,0.8244171405280201,0.0525512863740357,0.0302651687888051,0.0646102104335319,0.0375828433285676,98.48211368653746,84.0879281807295,82.44171405280201,5.25512863740357,3.02651687888051,6.461021043353191,3.75828433285676
hardness,GB,0.9146050652501,0.8365715028257136,0.8213343947909629,0.0532578806094793,0.0362241690010963,0.0651749301198458,0.0448893482120704,91.46050652501,83.65715028257135,82.1334394790963,5.3257880609479304,3.62241690010963,6.51749301198458,4.48893482120704
hardness,XGB,0.9410889892403916,0.8447004169791159,0.8234135940682077,0.0519164670797024,0.0337399648162247,0.0647945876683016,0.0428207369498419,94.10889892403917,84.4700416979116,82.34135940682077,5.19164670797024,3.3739964816224703,6.4794587668301595,4.28207369498419
hardness,LGBM,0.9742047937184148,0.8544651121465849,0.8454897672815765,0.0502578081282846,0.0280876839574713,0.06060922350806,0.0341045025319323,97.42047937184148,85.4465112146585,84.54897672815765,5.02578081282846,2.80876839574713,6.060922350806,3.41045025319323
hardness,CAT,0.8858577359783444,0.8383628281959844,0.8149960840312993,0.0529651989146467,0.0363689410730499,0.0663209223339233,0.045659751438215,88.58577359783443,83.83628281959844,81.49960840312993,5.29651989146467,3.63689410730499,6.63209223339233,4.5659751438214995
conductivity,ET,0.999468290204796,0.9414498415822414,0.9275879653044796,0.0552044227687295,0.0337671788705931,0.0621982736325995,0.0361322953562305,99.9468290204796,94.14498415822415,92.75879653044797,5.52044227687295,3.3767178870593098,6.21982736325995,3.61322953562305
conductivity,RF,0.9914301416570248,0.9533724143256662,0.9374175560051016,0.0492641847539292,0.032801131596942,0.0578228128984153,0.0385316854253021,99.14301416570248,95.33724143256663,93.74175560051016,4.92641847539292,3.2801131596942,5.782281289841531,3.8531685425302102
conductivity,GB,0.9628126015000066,0.9582222365983232,0.944010067854393,0.0466318267653693,0.0350764795946783,0.0546925189317646,0.0363334999532676,96.28126015000066,95.82222365983232,94.40100678543931,4.6631826765369295,3.50764795946783,5.46925189317646,3.63334999532676
conductivity,XGB,0.9713600945303548,0.9636999061534608,0.9455521591523128,0.043467404619352,0.0318708460515151,0.0539340814123781,0.036514529325228,97.13600945303547,96.36999061534608,94.55521591523129,4.3467404619352,3.18708460515151,5.39340814123781,3.6514529325228002
conductivity,LGBM,0.9891839966551372,0.9712896933169816,0.9519663672465684,0.0386570538004251,0.0236115017059865,0.0506577238117406,0.0330543029413381,98.91839966551372,97.12896933169816,95.19663672465684,3.8657053800425096,2.3611501705986497,5.06577238117406,3.30543029413381
conductivity,CAT,0.945843679943436,0.9421525973521584,0.9235651887103712,0.0548721235679194,0.0413818979157882,0.0639026037429905,0.0456421829168951,94.5843679943436,94.21525973521584,92.35651887103712,5.48721235679194,4.13818979157882,6.39026037429905,4.56421829168951
